Fecha,SF43883,
27/01/2000,17.70,
03/02/2000,na,
10/02/2000,na,
17/02/2000,na,
24/02/2000,15.95,
02/03/2000,na,
09/03/2000,na,
16/03/2000,na,
23/03/2000,14.94,
30/03/2000,na,
06/04/2000,na,
13/04/2000,na,
19/04/2000,15.95,
27/04/2000,na,
04/05/2000,na,
11/05/2000,na,
18/05/2000,16.90,
25/05/2000,na,
01/06/2000,na,
08/06/2000,na,
15/06/2000,16.10,
22/06/2000,na,
29/06/2000,na,
06/07/2000,na,
13/07/2000,14.95,
20/07/2000,na,
27/07/2000,na,
03/08/2000,na,
10/08/2000,15.70,
17/08/2000,na,
24/08/2000,na,
31/08/2000,na,
07/09/2000,15.15,
14/09/2000,na,
21/09/2000,na,
28/09/2000,na,
05/10/2000,15.69,
12/10/2000,na,
19/10/2000,na,
26/10/2000,na,
01/11/2000,15.55,
09/11/2000,na,
16/11/2000,na,
23/11/2000,na,
30/11/2000,15.20,
07/12/2000,na,
14/12/2000,na,
21/12/2000,na,
28/12/2000,15.30,
04/01/2001,na,
11/01/2001,na,
18/01/2001,na,
25/01/2001,na,
01/02/2001,15.95,
08/02/2001,na,
15/02/2001,na,
22/02/2001,na,
01/03/2001,15.38,
08/03/2001,na,
15/03/2001,na,
22/03/2001,na,
29/03/2001,15.19,
05/04/2001,na,
11/04/2001,na,
19/04/2001,na,
26/04/2001,14.07,
03/05/2001,na,
10/05/2001,na,
17/05/2001,na,
24/05/2001,12.50,
31/05/2001,na,
07/06/2001,na,
14/06/2001,na,
21/06/2001,12.01,
28/06/2001,na,
05/07/2001,na,
12/07/2001,na,
19/07/2001,13.25,
26/07/2001,na,
02/08/2001,na,
09/08/2001,na,
16/08/2001,12.39,
23/08/2001,na,
30/08/2001,na,
06/09/2001,na,
13/09/2001,na,
20/09/2001,na,
27/09/2001,na,
04/10/2001,na,
11/10/2001,12.59,
18/10/2001,na,
25/10/2001,na,
01/11/2001,na,
08/11/2001,12.28,
15/11/2001,na,
22/11/2001,na,
29/11/2001,na,
06/12/2001,11.02,
13/12/2001,na,
20/12/2001,na,
27/12/2001,na,
03/01/2002,10.73,
10/01/2002,na,
17/01/2002,na,
24/01/2002,na,
31/01/2002,9.85,
07/02/2002,na,
14/02/2002,na,
21/02/2002,na,
28/02/2002,9.55,
07/03/2002,na,
14/03/2002,na,
20/03/2002,na,
27/03/2002,9.23,
04/04/2002,na,
11/04/2002,na,
18/04/2002,na,
25/04/2002,8.35,
02/05/2002,na,
09/05/2002,na,
16/05/2002,na,
23/05/2002,8.63,
30/05/2002,na,
06/06/2002,na,
13/06/2002,na,
20/06/2002,8.72,
27/06/2002,na,
04/07/2002,na,
11/07/2002,na,
18/07/2002,9.74,
25/07/2002,na,
01/08/2002,na,
08/08/2002,na,
15/08/2002,9.56,
22/08/2002,na,
29/08/2002,na,
05/09/2002,na,
12/09/2002,9.48,
19/09/2002,na,
26/09/2002,na,
03/10/2002,na,
10/10/2002,10.85,
17/10/2002,na,
24/10/2002,na,
31/10/2002,na,
07/11/2002,10.27,
14/11/2002,na,
21/11/2002,na,
28/11/2002,na,
05/12/2002,9.47,
11/12/2002,na,
19/12/2002,na,
26/12/2002,na,
02/01/2003,9.55,
09/01/2003,na,
16/01/2003,na,
23/01/2003,na,
30/01/2003,9.68,
06/02/2003,na,
13/02/2003,na,
20/02/2003,na,
27/02/2003,9.80,
06/03/2003,na,
13/03/2003,na,
20/03/2003,na,
27/03/2003,9.30,
03/04/2003,na,
10/04/2003,na,
16/04/2003,na,
24/04/2003,8.64,
30/04/2003,na,
08/05/2003,na,
15/05/2003,na,
22/05/2003,7.30,
29/05/2003,na,
05/06/2003,na,
12/06/2003,na,
19/06/2003,6.85,
26/06/2003,na,
03/07/2003,na,
10/07/2003,na,
17/07/2003,7.67,
24/07/2003,na,
31/07/2003,na,
07/08/2003,na,
14/08/2003,7.06,
21/08/2003,na,
28/08/2003,na,
04/09/2003,na,
11/09/2003,6.78,
18/09/2003,na,
25/09/2003,na,
02/10/2003,na,
09/10/2003,7.05,
16/10/2003,na,
23/10/2003,na,
30/10/2003,na,
06/11/2003,6.50,
13/11/2003,na,
19/11/2003,na,
27/11/2003,na,
04/12/2003,7.17,
11/12/2003,na,
18/12/2003,na,
24/12/2003,na,
31/12/2003,7.60,
08/01/2004,na,
15/01/2004,na,
22/01/2004,na,
29/01/2004,6.60,
04/02/2004,na,
12/02/2004,na,
