Periodo,Cambio % Inv,Cambio % C ,Cambio % PIB,Tasa de inter‚s real ,Cambio  rezago 1% Inv,Cambio rezago 1 % PIB,Cambio rezago 1 Tasa inter‚s
1980/02,2.182140765,1.74522854,0.652366113,0.08795334,,,
1980/03,3.308693938,2.442603851,2.15876481,-0.608915935,2.182140765,0.652366113,0.08795334
1980/04,1.033513647,2.452242588,2.895866365,0.546036762,3.308693938,2.15876481,-0.608915935
1981/01,8.904257648,0.745554022,2.232972015,-0.817385297,1.033513647,2.895866365,0.546036762
1981/02,5.214414465,1.567205508,2.591142812,1.823278729,8.904257648,2.232972015,-0.817385297
1981/03,-0.488129478,2.401189132,0.522758425,2.367805633,5.214414465,2.591142812,1.823278729
1981/04,-0.985889165,0.648489579,1.79157736,1.391916254,-0.488129478,0.522758425,2.367805633
1982/01,-3.408024324,-0.173535857,-1.926787828,-4.286214953,-0.985889165,1.79157736,1.391916254
1982/02,-7.74724888,-1.33117926,0.15238214,-5.89881815,-3.408024324,-1.926787828,-4.286214953
1982/03,-8.366415336,-3.048566644,-0.719204556,-9.943639951,-7.74724888,0.15238214,-5.89881815
1982/04,-21.10821446,-1.02275549,-2.194228598,-9.455080435,-8.366415336,-0.719204556,-9.943639951
1983/01,-7.231136915,-1.597689761,-0.739376136,-6.920089076,-21.10821446,-2.194228598,-9.455080435
1983/02,-2.008381015,-0.191119809,-2.010714682,0.609967062,-7.231136915,-0.739376136,-6.920089076
1983/03,0.264523425,0.007512597,0.830142742,2.235888216,-2.008381015,-2.010714682,0.609967062
1983/04,6.588745267,0.51743622,1.150445915,-0.510612382,0.264523425,0.830142742,2.235888216
1984/01,-5.203934264,1.843984348,2.760113988,-4.299232865,6.588745267,1.150445915,-0.510612382
1984/02,2.775823285,0.009288419,-1.471891288,0.704607161,-5.203934264,2.760113988,-4.299232865
1984/03,11.92002107,1.526506696,2.42155471,3.274407448,2.775823285,-1.471891288,0.704607161
1984/04,-1.820382934,-0.767419719,-0.881230435,0.500694485,11.92002107,2.42155471,3.274407448
1985/01,3.631367717,2.504073851,1.829112138,-3.318945013,-1.820382934,-0.881230435,0.500694485
1985/02,0.338888473,0.610810304,-0.086641194,7.138895462,3.631367717,1.829112138,-3.318945013
1985/03,0.128932057,-0.093936424,0.625404503,5.585378433,0.338888473,-0.086641194,7.138895462
1985/04,-2.93207606,-0.439536147,-0.271496482,1.493522598,0.128932057,0.625404503,5.585378433
1986/01,-1.210604587,0.598711143,-1.928238569,0.265704437,-2.93207606,-0.271496482,1.493522598
1986/02,-5.90294786,-1.90236171,-0.373519787,2.415260668,-1.210604587,-1.928238569,0.265704437
1986/03,-8.098894466,-1.373770199,-1.898208858,2.46429568,-5.90294786,-0.373519787,2.415260668
1986/04,-1.740423003,-1.672471351,-0.273023,4.74422106,-8.098894466,-1.898208858,2.46429568
1987/01,-2.387999736,-0.148223127,0.597476086,2.442305198,-1.740423003,-0.273023,4.74422106
1987/02,12.76746361,2.82442386,2.736231001,-0.697751367,-2.387999736,0.597476086,2.442305198
1987/03,1.273602891,0.969809019,0.107060897,-0.561384376,12.76746361,2.736231001,-0.697751367
1987/04,0.997938087,0.561571157,1.208326569,-5.770422151,1.273602891,0.107060897,-0.561384376
1988/01,0.080526937,-1.431601006,-0.675506216,-0.055103032,0.997938087,1.208326569,-5.770422151
1988/02,0.537208789,-0.138457591,-0.320852838,3.663041021,0.080526937,-0.675506216,-0.055103032
1988/03,2.339101145,0.732830243,0.123422563,4.921429643,0.537208789,-0.320852838,3.663041021
1988/04,-1.053365702,3.600959548,1.992230562,5.773259602,2.339101145,0.123422563,4.921429643
1989/01,4.16337551,2.571726052,1.873677839,7.425524287,-1.053365702,1.992230562,5.773259602
