Fecha ,Deuda total ,Deuda interna,Deuda externa 
ene-09,3169.70,1983.82,1185.88
feb-09,3199.73,1940.65,1259.08
mar-09,3233.31,2056.63,1176.68
abr-09,3122.11,1977.27,1144.84
may-09,3072.51,1973.00,1099.51
jun-09,3074.09,1970.26,1103.83
jul-09,3133.23,2026.35,1106.88
ago-09,3184.46,2059.88,1124.58
sep-09,3244.88,2049.41,1195.47
oct-09,3327.11,2157.03,1170.08
nov-09,3337.64,2184.03,1153.61
dic-09,3402.34,2187.70,1214.64
ene-10,3424.42,2181.44,1242.98
feb-10,3392.70,2174.53,1218.17
mar-10,3420.32,2241.16,1179.16
abr-10,3408.23,2231.44,1176.79
may-10,3498.31,2266.33,1231.98
jun-10,3554.16,2328.70,1225.46
jul-10,3633.57,2389.66,1243.91
ago-10,3685.86,2379.04,1306.82
sep-10,3713.04,2442.28,1270.76
oct-10,3768.23,2509.89,1258.34
nov-10,3721.97,2454.25,1267.72
dic-10,3900.55,2546.57,1353.98
ene-11,3808.19,2517.34,1290.85
feb-11,3845.92,2522.95,1322.97
mar-11,3840.74,2535.45,1305.29
abr-11,3857.01,2588.10,1268.91
may-11,3936.29,2699.25,1237.04
jun-11,3975.82,2704.36,1271.46
jul-11,4077.41,2766.40,1311.01
ago-11,4193.35,2804.17,1389.18
sep-11,4364.64,2814.36,1550.28
oct-11,4355.20,2852.52,1502.68
nov-11,4394.89,2840.87,1554.02
dic-11,4519.36,2904.73,1614.63
ene-12,4541.84,3007.69,1534.15
feb-12,4494.29,2988.01,1506.28
mar-12,4498.34,2979.52,1518.82
abr-12,4569.09,3005.86,1563.23
may-12,4720.59,3035.46,1685.13
jun-12,4805.08,3192.91,1612.17
jul-12,4919.10,3298.80,1620.30
ago-12,4890.66,3284.45,1606.21
sep-12,4940.37,3390.74,1549.63
oct-12,4899.69,3316.48,1583.21
nov-12,4970.88,3387.02,1583.86
dic-12,5104.46,3516.62,1587.84
ene-13,5147.99,3547.25,1600.74
feb-13,5128.12,3531.87,1596.25
mar-13,5202.77,3669.31,1533.46
abr-13,5310.22,3781.13,1529.09
may-13,5220.56,3636.27,1584.29
jun-13,5126.91,3529.57,1597.34
jul-13,5148.61,3531.81,1616.80
ago-13,5189.26,3498.96,1690.30
sep-13,5312.41,3638.53,1673.88
oct-13,5302.25,3617.58,1684.67
nov-13,5393.83,3668.45,1725.38
dic-13,5405.27,3673.42,1731.85
ene-14,5533.53,3682.68,1850.85
feb-14,5609.43,3790.90,1818.53
mar-14,5697.48,3870.63,1826.85
abr-14,5665.54,3772.03,1893.51
may-14,5743.41,3880.90,1862.51
jun-14,5923.38,4044.25,1879.13
jul-14,6001.31,4076.91,1924.40
ago-14,6015.13,4117.98,1897.15
sep-14,6004.48,4080.73,1923.75
oct-14,6127.81,4147.14,1980.67
nov-14,6298.49,4251.71,2046.78
dic-14,6549.51,4389.85,2159.66
ene-15,6817.43,4489.82,2327.61
feb-15,6814.02,4497.38,2316.64
mar-15,6821.57,4403.22,2418.35
abr-15,6810.40,4323.70,2486.70
may-15,6911.51,4443.56,2467.95
jun-15,6999.37,4491.39,2507.98
jul-15,7124.07,4555.80,2568.27
ago-15,7307.09,4624.19,2682.90
sep-15,7352.67,4666.63,2686.04
oct-15,7382.05,4729.57,2652.48
nov-15,7354.08,4698.42,2655.66
dic-15,7506.55,4717.43,2789.12
ene-16,7851.30,4869.39,2981.91
feb-16,7845.45,4766.80,3078.65
mar-16,7788.80,4782.37,3006.43
abr-16,7672.54,4679.31,2993.23
may-16,7865.68,4685.39,3180.29
jun-16,8011.49,4724.27,3287.22
jul-16,8083.38,4724.05,3359.33
ago-16,8298.12,4893.00,3405.12
sep-16,8440.42,4930.98,3509.44
oct-16,8273.53,4932.88,3340.65
nov-16,8432.62,4835.07,3597.55
dic-16,8663.87,4966.31,3697.56
ene-17,8838.87,5075.67,3763.20
feb-17,8729.61,5038.65,3690.96
mar-17,8273.92,4797.70,3476.22
abr-17,8294.78,4823.18,3471.60
may-17,8268.71,4826.36,3442.35
jun-17,8382.03,5019.68,3362.35
jul-17,8342.44,5007.89,3334.55
ago-17,8373.98,5031.86,3342.12
sep-17,8540.78,5094.69,3446.09
oct-17,8682.51,5042.47,3640.04
nov-17,8604.26,5097.33,3506.93
dic-17,8940.06,5183.30,3756.76
ene-18,8924.86,5252.83,3672.03
feb-18,8942.07,5200.90,3741.17
mar-18,8977.80,5332.63,3645.17
abr-18,9066.18,5308.35,3757.83
may-18,9198.90,5245.95,3952.95
jun-18,9231.59,5331.24,3900.35
jul-18,8935.56,5236.34,3699.22
ago-18,9094.95,5303.32,3791.63
sep-18,9051.08,5320.66,3730.42
oct-18,9150.62,5101.87,4048.75
nov-18,9156.28,5115.97,4040.31
dic-18,9270.29,5347.05,3923.24
ene-19,9233.59,5322.65,3910.94
feb-19,9355.52,5399.25,3956.27
mar-19,9416.70,5456.15,3960.55
abr-19,9295.47,5370.49,3924.98
may-19,9460.11,5425.50,4034.61
jun-19,9570.41,5596.96,3973.45
jul-19,9569.41,5602.42,3966.99
ago-19,9926.52,5743.47,4183.05
sep-19,9905.05,5905.13,3999.92
oct-19,9924.48,6016.80,3907.68
nov-19,10154.40,6175.76,3978.64
dic-19,10226.78,6411.27,3815.51
ene-20,10597.46,6614.25,3983.21
