Fecha ,Total en circulaci¢n ,CETES,Bondes ,Udibonos,Bonos ,Bondes D
ene-09,2462341231.00,397524409.00,44524710.00,365687855.00,1206193140.00,448411117.00
feb-09,2443390188.00,398034887.00,44253190.00,362178333.00,1179496880.00,459426898.00
mar-09,2566186234.00,417886929.00,44646760.00,384597731.00,1248405340.00,470649474.00
abr-09,2648337983.00,445208722.00,32429430.00,402295854.00,1294659530.00,473744447.00
may-09,2707073120.00,472708964.00,32611250.00,415433693.00,1305699740.00,480619473.00
jun-09,2677653570.00,469072157.00,32298270.00,414584603.00,1277494830.00,484203710.00
jul-09,2742438031.00,483219229.00,32082960.00,430020130.00,1305414230.00,491701482.00
ago-09,2773703161.00,502558937.00,20793700.00,444175938.00,1322799490.00,483375096.00
sep-09,2838072324.00,511178927.00,20877700.00,458072819.00,1359458240.00,488484638.00
oct-09,2858714327.00,525558519.00,20965880.00,448704591.00,1391753070.00,471732267.00
nov-09,2904863013.00,524123170.00,21069910.00,458577798.00,1424772420.00,476319715.00
dic-09,2767946654.00,512568049.00,20852930.00,466402740.00,1299735070.00,468387865.00
ene-10,2800077431.00,505806036.00,11090550.00,478965044.00,1330436140.00,473779661.00
feb-10,2874272682.00,508495713.00,11131100.00,488845318.00,1400638000.00,465162551.00
mar-10,2963221647.00,517315271.00,11176260.00,515303865.00,1449755570.00,469670681.00
abr-10,3024363435.00,532584516.00,11220560.00,526694829.00,1496826340.00,457037190.00
may-10,3060505261.00,523393993.00,11263750.00,536236718.00,1529321970.00,460288830.00
jun-10,3071118591.00,540139318.00,0.00,554151786.00,1528131540.00,448695947.00
jul-10,3146752816.00,506302358.00,0.00,582339414.00,1605965610.00,452145434.00
ago-10,3129702791.00,495978783.00,0.00,596237930.00,1640689830.00,396796248.00
sep-10,3223488098.00,502403396.00,0.00,623244824.00,1699167510.00,398672368.00
oct-10,3228203704.00,466605911.00,0.00,641318185.00,1730353430.00,389926178.00
nov-10,3194034717.00,457681850.00,0.00,621251328.00,1715106130.00,399995409.00
dic-10,3152934133.00,557122523.00,0.00,583070736.00,1612492190.00,400248684.00
ene-11,3156555340.42,564116899.00,0.00,556039031.42,1617246920.00,419152490.00
feb-11,3187072364.61,537549369.00,0.00,558879566.61,1660567130.00,430076299.00
mar-11,3242975076.32,536815279.00,0.00,578246199.32,1685020470.00,442893128.00
abr-11,3355454044.04,540714531.00,0.00,607622173.04,1737582000.00,469535340.00
may-11,3481621107.14,563173731.00,0.00,624186063.14,1797896960.00,496364353.00
jun-11,3504426975.44,631863911.00,0.00,619768312.44,1731058650.00,521736102.00
jul-11,3614164349.25,631249289.00,0.00,648915750.25,1782574960.00,551424350.00
ago-11,3763654351.61,641253637.00,0.00,671352995.61,1867832840.00,583214879.00
sep-11,3810322180.64,631358387.00,0.00,681343804.64,1873553510.00,624066479.00
oct-11,3947098535.61,663557505.00,0.00,703134775.61,1938202850.00,642203405.00
nov-11,3980234464.90,672703965.00,0.00,698447450.90,1939363210.00,669719839.00
dic-11,3875914570.53,696021621.00,0.00,703112134.53,1779167910.00,697612905.00
ene-12,4024072865.33,709075641.00,0.00,740844641.33,1856945970.00,717206613.00
feb-12,4066344897.47,713388904.00,0.00,745409701.47,1876542790.00,731003502.00
mar-12,4089411443.72,717404058.00,0.00,733041745.72,1878473940.00,760491700.00
abr-12,4206976632.96,730606601.00,0.00,769564273.96,1938976880.00,767828878.00
may-12,4313385975.34,736034482.00,0.00,793282123.34,1987027290.00,797042080.00
