Fecha ,28 dias,1 an,3 an,5 an,10 an
08/01/2009,7.91,NA,NA,7.70,NA
15/01/2009,7.70,7.24,NA,NA,NA
22/01/2009,7.44,NA,6.91,NA,NA
29/01/2009,7.31,NA,NA,NA,NA
05/02/2009,7.16,NA,NA,7.60,NA
12/02/2009,7.07,7.14,NA,NA,8.24
19/02/2009,7.00,NA,7.17,NA,NA
26/02/2009,7.24,NA,NA,NA,NA
05/03/2009,7.25,NA,NA,8.48,NA
12/03/2009,7.18,7.48,NA,NA,NA
19/03/2009,7.18,NA,7.08,NA,NA
26/03/2009,6.52,NA,NA,NA,7.75
02/04/2009,6.35,NA,NA,7.14,NA
08/04/2009,6.24,6.12,NA,NA,NA
16/04/2009,6.06,NA,6.04,NA,NA
23/04/2009,5.84,NA,NA,NA,NA
30/04/2009,5.74,NA,NA,7.16,NA
07/05/2009,5.54,5.41,NA,NA,7.55
14/05/2009,5.36,NA,6.18,NA,NA
21/05/2009,5.18,NA,NA,NA,NA
28/05/2009,5.09,NA,NA,6.78,NA
04/06/2009,5.08,5.19,NA,NA,NA
11/06/2009,5.10,NA,6.20,NA,NA
18/06/2009,5.01,NA,NA,NA,8.22
25/06/2009,4.72,NA,NA,7.45,NA
02/07/2009,4.72,5.17,NA,NA,NA
09/07/2009,4.65,NA,6.16,NA,NA
16/07/2009,4.55,NA,NA,NA,NA
23/07/2009,4.52,NA,NA,6.81,NA
30/07/2009,4.51,5.06,NA,NA,8.09
06/08/2009,4.50,NA,6.46,NA,NA
13/08/2009,4.49,NA,NA,NA,NA
20/08/2009,4.48,NA,NA,7.33,NA
27/08/2009,4.47,5.13,NA,NA,NA
03/09/2009,4.47,NA,6.60,NA,NA
10/09/2009,4.47,NA,NA,NA,8.00
17/09/2009,4.49,NA,NA,7.50,NA
24/09/2009,4.50,5.35,NA,NA,NA
01/10/2009,4.51,NA,6.54,NA,NA
08/10/2009,4.51,NA,NA,NA,NA
15/10/2009,4.51,NA,NA,7.39,NA
22/10/2009,4.51,5.39,NA,NA,8.05
29/10/2009,4.52,NA,6.59,NA,NA
05/11/2009,4.52,NA,NA,NA,NA
12/11/2009,4.52,NA,NA,7.25,NA
19/11/2009,4.50,5.22,NA,NA,NA
26/11/2009,4.49,NA,6.30,NA,NA
03/12/2009,4.51,NA,NA,NA,7.81
10/12/2009,4.48,NA,NA,7.45,NA
17/12/2009,4.51,5.07,NA,NA,NA
24/12/2009,4.50,NA,6.40,NA,NA
31/12/2009,4.51,NA,NA,NA,NA
07/01/2010,4.50,NA,NA,7.37,NA
