Fecha,Tasa 10 anos
26/07/2001,10.9
02/08/2001,NA
09/08/2001,NA
16/08/2001,NA
23/08/2001,NA
30/08/2001,NA
06/09/2001,NA
13/09/2001,NA
20/09/2001,NA
27/09/2001,NA
04/10/2001,NA
11/10/2001,NA
18/10/2001,11.09
25/10/2001,NA
01/11/2001,NA
08/11/2001,NA
15/11/2001,NA
22/11/2001,NA
29/11/2001,NA
06/12/2001,NA
13/12/2001,10.28
20/12/2001,NA
27/12/2001,NA
03/01/2002,NA
10/01/2002,9.98
17/01/2002,NA
24/01/2002,NA
31/01/2002,NA
07/02/2002,9.93
14/02/2002,NA
21/02/2002,NA
28/02/2002,NA
07/03/2002,9.72
14/03/2002,NA
20/03/2002,NA
27/03/2002,NA
04/04/2002,9.85
11/04/2002,NA
18/04/2002,NA
25/04/2002,NA
02/05/2002,9.23
09/05/2002,NA
16/05/2002,NA
23/05/2002,NA
30/05/2002,9.16
06/06/2002,NA
13/06/2002,NA
20/06/2002,NA
27/06/2002,9.95
04/07/2002,NA
11/07/2002,NA
18/07/2002,NA
25/07/2002,10.17
01/08/2002,NA
08/08/2002,NA
15/08/2002,NA
22/08/2002,10.23
29/08/2002,NA
05/09/2002,NA
12/09/2002,NA
19/09/2002,10.22
26/09/2002,NA
03/10/2002,NA
10/10/2002,NA
17/10/2002,11.17
24/10/2002,NA
31/10/2002,NA
07/11/2002,NA
14/11/2002,10.96
21/11/2002,NA
28/11/2002,NA
05/12/2002,NA
11/12/2002,10.12
19/12/2002,NA
26/12/2002,NA
02/01/2003,NA
09/01/2003,10.12
16/01/2003,NA
23/01/2003,NA
30/01/2003,NA
06/02/2003,10.09
13/02/2003,NA
20/02/2003,NA
27/02/2003,NA
06/03/2003,10.58
13/03/2003,NA
20/03/2003,NA
27/03/2003,NA
03/04/2003,9.83
10/04/2003,NA
16/04/2003,NA
24/04/2003,NA
30/04/2003,9.22
08/05/2003,NA
15/05/2003,NA
22/05/2003,NA
29/05/2003,8.49
05/06/2003,NA
12/06/2003,NA
19/06/2003,NA
26/06/2003,8.07
03/07/2003,NA
10/07/2003,NA
17/07/2003,NA
24/07/2003,8.74
31/07/2003,NA
07/08/2003,NA
14/08/2003,NA
21/08/2003,8.88
28/08/2003,NA
04/09/2003,NA
11/09/2003,NA
18/09/2003,8.37
25/09/2003,NA
02/10/2003,NA
09/10/2003,NA
16/10/2003,8.24
23/10/2003,NA
30/10/2003,NA
06/11/2003,NA
13/11/2003,8.35
19/11/2003,NA
27/11/2003,NA
04/12/2003,NA
11/12/2003,8.32
18/12/2003,NA
24/12/2003,NA
31/12/2003,NA
08/01/2004,8.46
15/01/2004,NA
22/01/2004,NA
29/01/2004,NA
04/02/2004,8.38
12/02/2004,NA
19/02/2004,NA
26/02/2004,NA
04/03/2004,8.6
11/03/2004,NA
18/03/2004,NA
25/03/2004,NA
01/04/2004,8.56
07/04/2004,NA
15/04/2004,NA
22/04/2004,NA
29/04/2004,9.27
06/05/2004,NA
13/05/2004,NA
20/05/2004,NA
27/05/2004,10.1
03/06/2004,NA
10/06/2004,NA
17/06/2004,NA
24/06/2004,10.3
01/07/2004,NA
08/07/2004,NA
15/07/2004,NA
22/07/2004,9.78
29/07/2004,NA
05/08/2004,NA
12/08/2004,NA
19/08/2004,10.03
26/08/2004,NA
02/09/2004,NA
09/09/2004,NA
15/09/2004,10.27
23/09/2004,NA
30/09/2004,NA
07/10/2004,NA
14/10/2004,9.69
21/10/2004,NA
28/10/2004,NA
04/11/2004,NA
11/11/2004,10.35
18/11/2004,NA
25/11/2004,NA
02/12/2004,NA
09/12/2004,9.72
16/12/2004,NA
23/12/2004,NA
30/12/2004,NA
06/01/2005,10.02
13/01/2005,NA
20/01/2005,NA
27/01/2005,NA
03/02/2005,9.62
10/02/2005,NA
17/02/2005,NA
24/02/2005,NA
03/03/2005,10.04
10/03/2005,NA
17/03/2005,NA
23/03/2005,NA
31/03/2005,10.47
07/04/2005,NA
14/04/2005,NA
21/04/2005,NA
28/04/2005,10.41
05/05/2005,NA
12/05/2005,NA
19/05/2005,NA
26/05/2005,9.84
02/06/2005,NA
09/06/2005,NA
16/06/2005,NA
23/06/2005,9.56
30/06/2005,NA
07/07/2005,NA
14/07/2005,NA
21/07/2005,9.37
28/07/2005,NA
04/08/2005,NA
11/08/2005,NA
18/08/2005,9.4
25/08/2005,NA
01/09/2005,NA
08/09/2005,NA
15/09/2005,8.5
22/09/2005,NA
29/09/2005,NA
06/10/2005,NA
13/10/2005,8.85
20/10/2005,NA
27/10/2005,NA
03/11/2005,NA
10/11/2005,8.73
17/11/2005,NA
24/11/2005,NA
01/12/2005,NA
08/12/2005,8.45
15/12/2005,NA
22/12/2005,NA
29/12/2005,NA
05/01/2006,8.25
12/01/2006,NA
19/01/2006,NA
26/01/2006,NA
02/02/2006,8.21
09/02/2006,NA
16/02/2006,NA
23/02/2006,NA
02/03/2006,7.84
09/03/2006,NA
16/03/2006,NA
23/03/2006,NA
30/03/2006,8.65
06/04/2006,NA
12/04/2006,NA
20/04/2006,NA
27/04/2006,8.57
04/05/2006,NA
11/05/2006,NA
18/05/2006,NA
25/05/2006,8.81
01/06/2006,NA
08/06/2006,NA
15/06/2006,NA
22/06/2006,9.73
29/06/2006,NA
06/07/2006,NA
13/07/2006,NA
20/07/2006,8.69
27/07/2006,NA
03/08/2006,NA
10/08/2006,NA
17/08/2006,8.08
24/08/2006,NA
31/08/2006,NA
07/09/2006,NA
14/09/2006,8.23
21/09/2006,NA
28/09/2006,NA
05/10/2006,NA
12/10/2006,8.4
19/10/2006,NA
09/11/2006,7.88
16/11/2006,NA
07/12/2006,7.56
14/12/2006,NA
04/01/2007,7.43
11/01/2007,NA
01/02/2007,7.96
08/02/2007,NA
01/03/2007,7.99
08/03/2007,NA
29/03/2007,7.65
04/04/2007,NA
26/04/2007,7.62
03/05/2007,NA
24/05/2007,7.7
31/05/2007,NA
21/06/2007,7.56
28/06/2007,NA
