Fecha ,Tasas 5 anos 
25/05/2000,17.40
01/06/2000,NA
08/06/2000,NA
15/06/2000,NA
22/06/2000,NA
29/06/2000,NA
06/07/2000,NA
13/07/2000,NA
20/07/2000,NA
27/07/2000,NA
03/08/2000,NA
10/08/2000,NA
17/08/2000,14.85
24/08/2000,NA
31/08/2000,NA
07/09/2000,NA
14/09/2000,NA
21/09/2000,NA
28/09/2000,15.15
05/10/2000,NA
12/10/2000,NA
19/10/2000,NA
26/10/2000,15.44
01/11/2000,NA
09/11/2000,NA
16/11/2000,NA
23/11/2000,14.74
30/11/2000,NA
07/12/2000,NA
14/12/2000,NA
21/12/2000,14.63
28/12/2000,NA
04/01/2001,NA
11/01/2001,NA
18/01/2001,16.20
25/01/2001,NA
01/02/2001,NA
08/02/2001,NA
15/02/2001,15.57
22/02/2001,NA
01/03/2001,NA
08/03/2001,NA
15/03/2001,14.48
22/03/2001,NA
29/03/2001,NA
05/04/2001,NA
11/04/2001,13.67
19/04/2001,NA
26/04/2001,NA
03/05/2001,NA
10/05/2001,13.20
17/05/2001,NA
24/05/2001,NA
31/05/2001,NA
07/06/2001,12.62
14/06/2001,NA
21/06/2001,NA
28/06/2001,NA
05/07/2001,12.07
12/07/2001,NA
19/07/2001,NA
26/07/2001,NA
02/08/2001,12.22
09/08/2001,NA
16/08/2001,NA
23/08/2001,NA
30/08/2001,11.94
06/09/2001,NA
13/09/2001,NA
20/09/2001,NA
27/09/2001,13.03
04/10/2001,NA
11/10/2001,NA
18/10/2001,NA
25/10/2001,11.19
01/11/2001,NA
08/11/2001,NA
15/11/2001,NA
22/11/2001,11.31
29/11/2001,NA
06/12/2001,NA
13/12/2001,NA
20/12/2001,10.30
27/12/2001,NA
03/01/2002,NA
10/01/2002,NA
17/01/2002,9.75
24/01/2002,NA
31/01/2002,NA
07/02/2002,NA
14/02/2002,9.63
21/02/2002,NA
28/02/2002,NA
07/03/2002,NA
14/03/2002,9.62
20/03/2002,NA
27/03/2002,NA
04/04/2002,NA
11/04/2002,9.48
18/04/2002,NA
25/04/2002,NA
02/05/2002,NA
09/05/2002,9.58
16/05/2002,NA
23/05/2002,NA
30/05/2002,NA
06/06/2002,9.50
13/06/2002,NA
20/06/2002,NA
27/06/2002,NA
04/07/2002,9.95
11/07/2002,NA
18/07/2002,NA
25/07/2002,NA
01/08/2002,10.00
08/08/2002,NA
15/08/2002,NA
22/08/2002,NA
29/08/2002,9.67
05/09/2002,NA
12/09/2002,NA
19/09/2002,NA
26/09/2002,10.94
03/10/2002,NA
10/10/2002,NA
17/10/2002,NA
24/10/2002,10.46
31/10/2002,NA
07/11/2002,NA
14/11/2002,NA
21/11/2002,10.23
28/11/2002,NA
05/12/2002,NA
11/12/2002,NA
19/12/2002,9.10
26/12/2002,NA
02/01/2003,NA
09/01/2003,NA
16/01/2003,9.81
23/01/2003,NA
30/01/2003,NA
06/02/2003,NA
13/02/2003,9.55
20/02/2003,NA
27/02/2003,NA
06/03/2003,NA
13/03/2003,9.70
20/03/2003,NA
27/03/2003,NA
03/04/2003,NA
10/04/2003,9.13
16/04/2003,NA
24/04/2003,NA
30/04/2003,NA
08/05/2003,8.15
15/05/2003,NA
22/05/2003,NA
29/05/2003,NA
05/06/2003,7.35
12/06/2003,NA
19/06/2003,NA
26/06/2003,NA
03/07/2003,7.25
10/07/2003,NA
17/07/2003,NA
24/07/2003,NA
31/07/2003,7.85
07/08/2003,NA
14/08/2003,NA
21/08/2003,NA
28/08/2003,7.51
04/09/2003,NA
11/09/2003,NA
18/09/2003,NA
25/09/2003,7.16
02/10/2003,NA
09/10/2003,NA
16/10/2003,NA
23/10/2003,7.32
30/10/2003,NA
06/11/2003,NA
13/11/2003,NA
19/11/2003,7.25
27/11/2003,NA
04/12/2003,NA
11/12/2003,NA
18/12/2003,7.72
24/12/2003,NA
31/12/2003,NA
08/01/2004,NA
15/01/2004,7.39
22/01/2004,NA
29/01/2004,NA
04/02/2004,NA
12/02/2004,7.74
19/02/2004,NA
26/02/2004,NA
04/03/2004,NA
11/03/2004,7.59
18/03/2004,NA
25/03/2004,NA
01/04/2004,NA
07/04/2004,7.74
15/04/2004,NA
22/04/2004,NA
29/04/2004,NA
06/05/2004,8.94
13/05/2004,NA
20/05/2004,NA
27/05/2004,NA
03/06/2004,9.27
10/06/2004,NA
17/06/2004,NA
24/06/2004,NA
01/07/2004,9.91
08/07/2004,NA
15/07/2004,NA
22/07/2004,NA
29/07/2004,9.80
05/08/2004,NA
12/08/2004,NA
19/08/2004,NA
26/08/2004,9.54
02/09/2004,NA
09/09/2004,NA
15/09/2004,NA
23/09/2004,9.38
30/09/2004,NA
07/10/2004,NA
14/10/2004,NA
21/10/2004,8.92
28/10/2004,NA
04/11/2004,NA
11/11/2004,NA
18/11/2004,9.36
25/11/2004,NA
02/12/2004,NA
09/12/2004,NA
16/12/2004,9.25
23/12/2004,NA
30/12/2004,NA
06/01/2005,NA
13/01/2005,9.17
20/01/2005,NA
27/01/2005,NA
03/02/2005,NA
10/02/2005,9.35
17/02/2005,NA
24/02/2005,NA
03/03/2005,NA
10/03/2005,9.60
17/03/2005,NA
23/03/2005,NA
31/03/2005,NA
07/04/2005,10.50
14/04/2005,NA
21/04/2005,NA
28/04/2005,NA
05/05/2005,10.31
12/05/2005,NA
19/05/2005,NA
26/05/2005,NA
02/06/2005,9.51
09/06/2005,NA
16/06/2005,NA
23/06/2005,NA
30/06/2005,9.14
07/07/2005,NA
14/07/2005,NA
21/07/2005,NA
28/07/2005,9.28
04/08/2005,NA
11/08/2005,NA
18/08/2005,NA
25/08/2005,9.19
01/09/2005,NA
08/09/2005,NA
15/09/2005,NA
22/09/2005,8.32
29/09/2005,NA
06/10/2005,NA
13/10/2005,NA
20/10/2005,8.40
27/10/2005,NA
03/11/2005,NA
10/11/2005,NA
17/11/2005,8.36
24/11/2005,NA
01/12/2005,NA
08/12/2005,NA
15/12/2005,7.88
22/12/2005,NA
29/12/2005,NA
05/01/2006,NA
12/01/2006,7.86
19/01/2006,NA
26/01/2006,NA
02/02/2006,NA
09/02/2006,7.81
16/02/2006,NA
23/02/2006,NA
02/03/2006,NA
09/03/2006,7.87
16/03/2006,NA
23/03/2006,NA
30/03/2006,NA
06/04/2006,8.00
12/04/2006,NA
20/04/2006,NA
27/04/2006,NA
