Fecha,SF43936,SF43945,SF43883,SF43886,SF44071
01/2002,7.35,N/E,10.73,N/E,N/E
01/2002,6.48,N/E,N/E,N/E,9.98
01/2002,6.41,N/E,N/E,9.75,N/E
01/2002,6.78,9.07,N/E,N/E,N/E
01/2002,7.85,N/E,9.85,N/E,N/E
02/2002,8.15,N/E,N/E,N/E,9.93
02/2002,8.21,N/E,N/E,9.63,N/E
02/2002,7.99,9.11,N/E,N/E,N/E
02/2002,7.28,N/E,9.55,N/E,N/E
03/2002,6.97,N/E,N/E,N/E,9.72
03/2002,6.78,N/E,N/E,9.62,N/E
03/2002,7.70,8.00,N/E,N/E,N/E
03/2002,7.48,N/E,9.23,N/E,N/E
04/2002,6.21,N/E,N/E,N/E,9.85
04/2002,5.84,N/E,N/E,9.48,N/E
04/2002,5.72,7.34,N/E,N/E,N/E
04/2002,5.28,N/E,8.35,N/E,N/E
05/2002,5.67,N/E,N/E,N/E,9.23
05/2002,6.58,N/E,N/E,9.58,N/E
05/2002,6.87,7.71,N/E,N/E,N/E
05/2002,6.98,N/E,8.63,N/E,N/E
05/2002,6.93,N/E,N/E,N/E,9.16
06/2002,7.00,N/E,N/E,9.50,N/E
06/2002,7.23,8.12,N/E,N/E,N/E
06/2002,6.89,N/E,8.72,N/E,N/E
06/2002,8.06,N/E,N/E,N/E,9.95
07/2002,8.20,N/E,N/E,9.95,N/E
07/2002,7.24,8.76,N/E,N/E,N/E
07/2002,7.24,N/E,9.74,N/E,N/E
07/2002,6.82,N/E,N/E,N/E,10.17
08/2002,6.71,N/E,N/E,10.00,N/E
08/2002,6.53,8.56,N/E,N/E,N/E
08/2002,6.70,N/E,9.56,N/E,N/E
08/2002,6.78,N/E,N/E,N/E,10.23
08/2002,6.69,N/E,N/E,9.67,N/E
09/2002,6.90,8.48,N/E,N/E,N/E
09/2002,6.87,N/E,9.48,N/E,N/E
09/2002,6.99,N/E,N/E,N/E,10.22
09/2002,8.60,N/E,N/E,10.94,N/E
10/2002,7.79,9.52,N/E,N/E,N/E
10/2002,7.89,N/E,10.85,N/E,N/E
10/2002,7.74,N/E,N/E,N/E,11.17
10/2002,7.33,N/E,N/E,10.46,N/E
10/2002,7.54,9.78,N/E,N/E,N/E
11/2002,7.34,N/E,10.27,N/E,N/E
11/2002,7.79,N/E,N/E,N/E,10.96
11/2002,7.24,N/E,N/E,10.23,N/E
11/2002,6.81,9.17,N/E,N/E,N/E
12/2002,6.37,N/E,9.47,N/E,N/E
12/2002,7.19,N/E,N/E,N/E,10.12
12/2002,6.98,N/E,N/E,9.10,N/E
12/2002,6.98,8.38,N/E,N/E,N/E
01/2003,7.56,N/E,9.55,N/E,N/E
01/2003,7.97,N/E,N/E,N/E,10.12
01/2003,8.19,N/E,N/E,9.81,N/E
01/2003,8.54,9.84,N/E,N/E,N/E
01/2003,9.08,N/E,9.68,N/E,N/E
02/2003,8.86,N/E,N/E,N/E,10.09
02/2003,9.11,N/E,N/E,9.55,N/E
02/2003,8.90,9.16,N/E,N/E,N/E
02/2003,9.30,N/E,9.80,N/E,N/E
03/2003,9.60,N/E,N/E,N/E,10.58
03/2003,9.70,N/E,N/E,9.70,N/E
03/2003,8.96,9.12,N/E,N/E,N/E
03/2003,8.43,N/E,9.30,N/E,N/E
04/2003,8.72,N/E,N/E,N/E,9.83
04/2003,8.25,N/E,N/E,9.13,N/E
04/2003,7.99,8.30,N/E,N/E,N/E
04/2003,7.62,N/E,8.64,N/E,N/E
04/2003,6.73,N/E,N/E,N/E,9.22
05/2003,5.82,N/E,N/E,8.15,N/E
05/2003,4.90,6.60,N/E,N/E,N/E
05/2003,5.35,N/E,7.30,N/E,N/E
05/2003,4.91,N/E,N/E,N/E,8.49
06/2003,4.72,N/E,N/E,7.35,N/E
06/2003,5.64,6.49,N/E,N/E,N/E
06/2003,5.31,N/E,6.85,N/E,N/E
06/2003,5.11,N/E,N/E,N/E,8.07
07/2003,4.38,N/E,N/E,7.25,N/E
07/2003,4.91,6.59,N/E,N/E,N/E
07/2003,5.09,N/E,7.67,N/E,N/E
07/2003,4.35,N/E,N/E,N/E,8.74
07/2003,4.14,N/E,N/E,7.85,N/E
08/2003,4.31,6.61,N/E,N/E,N/E
08/2003,4.30,N/E,7.06,N/E,N/E
08/2003,4.53,N/E,N/E,N/E,8.88
08/2003,4.65,N/E,N/E,7.51,N/E
09/2003,4.98,6.31,N/E,N/E,N/E
09/2003,4.71,N/E,6.78,N/E,N/E
09/2003,4.77,N/E,N/E,N/E,8.37
09/2003,4.47,N/E,N/E,7.16,N/E
10/2003,4.58,5.94,N/E,N/E,N/E
10/2003,5.47,N/E,7.05,N/E,N/E
10/2003,5.42,N/E,N/E,N/E,8.24
10/2003,5.24,N/E,N/E,7.32,N/E
10/2003,4.86,5.89,N/E,N/E,N/E
11/2003,4.48,N/E,6.50,N/E,N/E
11/2003,4.55,N/E,N/E,N/E,8.35
11/2003,5.15,N/E,N/E,7.25,N/E
11/2003,5.78,6.42,N/E,N/E,N/E
12/2003,6.31,N/E,7.17,N/E,N/E
